100,0.00
200,0.01
300,0.01
400,0.02
500,0.04
600,0.03
700,0.03
800,0.03
900,0.04
1000,0.04
1100,0.05
1200,0.05
1300,0.07
1400,0.06
1500,0.07
1600,0.12
1700,0.08
1800,0.12
1900,0.12
2000,0.12
2100,0.13
2200,0.13
2300,0.10
2400,0.10
2500,0.11
2600,0.11
2700,0.11
2800,0.13
2900,0.13
3000,0.13
3100,0.13
3200,0.14
3300,0.21
3400,0.14
3500,0.17
3600,0.15
3700,0.16
3800,0.19
3900,0.24
4000,0.17
4100,0.18
4200,0.18
4300,0.25
4400,0.26
4500,0.27
4600,0.19
4700,0.22
4800,0.26
4900,0.21
5000,0.21
5100,0.21
5200,0.22
5300,0.37
5400,0.29
5500,0.25
5600,0.26
5700,0.24
5800,0.33
5900,0.26
6000,0.28
6100,0.38
6200,0.35
6300,0.30
6400,0.27
6500,0.32
6600,0.33
6700,0.31
6800,0.35
6900,0.36
7000,0.32
7100,0.29
7200,0.33
7300,0.33
7400,0.37
7500,0.36
7600,0.42
7700,0.40
7800,0.43
7900,0.33
8000,0.35
8100,0.48
8200,0.41
8300,0.48
8400,0.38
8500,0.38
8600,0.36
8700,0.37
8800,0.42
8900,0.46
9000,0.46
9100,0.45
9200,0.63
9300,0.45
9400,0.53
9500,0.44
9600,0.45
9700,0.55
9800,0.49
9900,0.55
10000,0.46
